Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2018/2019,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7305
2019/2020,Manitoba,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,7485
2016/2017,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2835
2017/2018,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2631
2018/2019,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2691
2019/2020,Saskatchewan,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,2655
2016/2017,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,10281
2017/2018,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,9858
2018/2019,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,9579
2019/2020,Alberta,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,9300
2016/2017,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,34503
2017/2018,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,33390
2018/2019,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,34989
2019/2020,British Columbia,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,34674
2016/2017,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,339
2017/2018,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,408
2018/2019,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,528
2019/2020,Territories,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ","Total, gender","Total, status of student in Canada",Number,units,588
2016/2017,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,141903
2017/2018,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,141585
2018/2019,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,142692
2019/2020,Canada,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,135462
2016/2017,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1647
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1410
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1146
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,1152
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,162
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,165
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,138
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status",Post-secondary non-tertiary education,"Total, field of study ",Female gender,"Total, status of student in Canada",Number,units,174
