Date,Geography,Institution type,Registration status,ISCED,Field of study,Gender,Status of student in Canada,UOM,Scalar Factor,Value
2017/2018,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11592
2018/2019,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11358
2019/2020,Newfoundland and Labrador,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11658
2016/2017,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,2778
2017/2018,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3561
2018/2019,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3252
2019/2020,Prince Edward Island,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,3612
2016/2017,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,23937
2017/2018,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,23166
2018/2019,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,23508
2019/2020,Nova Scotia,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,24600
2016/2017,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,12120
2017/2018,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11976
2018/2019,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,11775
2019/2020,New Brunswick,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,12147
2016/2017,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,223653
2017/2018,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,224535
2018/2019,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,222645
2019/2020,Quebec,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,222318
2016/2017,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,380040
2017/2018,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,394368
2018/2019,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,403299
2019/2020,Ontario,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,407880
2016/2017,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,26400
2017/2018,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,26358
2018/2019,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,26298
2019/2020,Manitoba,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,27126
2016/2017,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,24039
2017/2018,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,24393
2018/2019,Saskatchewan,"Total, institution type","Total, registration status","Total, International Standard Classification of Education (ISCED)","Total, field of study ",Male gender,"Total, status of student in Canada",Number,units,25284
